133719	dovolat	dovolat_:W	V	803716
803716	volat	volat_:T	V
134001	dovršitel	dovršitel	N	134005
134005	dovršit	dovršit_:W	V	809861
809861	vršit	vršit_:T	V
135841	dozíratel	dozíratel	N	135845
135845	dozírat	dozírat_:T	V	956485
956485	zírat	zírat_:T	V
136247	dozorovatel	dozorovatel	N	136251
136251	dozorovat	dozorovat_:T	V
137865	drásatel	drásatel	N	137869
137869	drásat	drásat_:T	V
138143	drážditel	drážditel	N	138147
138147	dráždit	dráždit_:T	V
138206	dražitel	dražitel	N	138210
138210	dražit	dražit_:T	V
138505	Dreiseitel	Dreiseitel_;S	N
139493	drobnochovatel	drobnochovatel	NC
139952	drtitel	drtitel	N	139956
139956	drtit	drtit_:T	V
140378	držitel	držitel	N	140369
140369	držet	držet_:T	V
140711	dřevokotel	dřevokotel	NC
140849	dřevostavitel	dřevostavitel	NC
140885	dřevozpracovatel	dřevozpracovatel	NC
143105	dusitel	dusitel	N	143112
143112	dusit	dusit_:T	V
145642	dvojkostel	dvojkostel	NC
146017	dvojpostel	dvojpostel	NC
146082	dvojpytel	dvojpytel	NC
146554	dvojzastupitel	dvojzastupitel	NC
147895	dvoupostel	dvoupostel	N
151688	ekokazatel	ekokazatel	NC
151818	ekopodnikatel	ekopodnikatel	NC
152589	elektrokotel	elektrokotel	NC
154435	endotel	endotel_;U	NC
155444	epitel	epitel	NC
157525	Ettel	Ettel_;S	N
157932	euročinitel	euročinitel	NC
158035	euromyslitel	euromyslitel	NC
158185	Eurotel	Eurotel_;K	N
159270	exhlasatel	exhlasatel	N
159570	exmajitel	exmajitel	N
160074	expodnikatel	expodnikatel	N
160328	expřítel	expřítel	N
160355	exředitel	exředitel	N
160432	exspolumajitel	exspolumajitel	N
160843	exučitel	exučitel	N
160874	exvelitel	exvelitel	N
160909	exvyšetřovatel	exvyšetřovatel	N
160917	exzastupitel	exzastupitel	N
162319	falšovatel	falšovatel	N	162326
162326	falšovat	falšovat_:T	V
164195	fedrovatel	fedrovatel	N	164199
164199	fedrovat	fedrovat_:T	V
164377	Feistmantel	Feistmantel_;S	N
164612	Feltel	Feltel_;S	N
165481	Ferstel	Ferstel_;S	N
165779	Feustel	Feustel_;S	N
167342	financovatel	financovatel	N	167346
167346	financovat	financovat_:T	V
170375	fondovatel	fondovatel	N
170899	formovatel	formovatel	N	170903
170903	formovat	formovat_:T	V
171049	fortel	fortel	N
171147	Fořtel	Fořtel_;S	N
171380	fotel	fotel	N
175107	funitel	funitel	N
178254	gaypřítel	gaypřítel	N
179860	Gerstel	Gerstel_;S	N
180773	Gintel	Gintel_;S	N
182202	Goetel	Goetel_;S	N
183538	Göttel	Göttel_;S	N
184317	grandhotel	grandhotel	N
188783	Hachtel	Hachtel_;S	N
189134	hajitel	hajitel	N
189135	hájitel	hájitel	N	189140
189140	hájit	hájit_:T_^(bránit,_obhajovat)	V
191248	hanitel	hanitel	N	191252
191252	hanit	hanit_:T_^(vyjadřovat_se_záporně)	V
191381	hanobitel	hanobitel	N	191388
191388	hanobit	hanobit_:T	V
191511	Hantel	Hantel_;S	N
191971	harašitel	harašitel	N	191975
191975	harašit	harašit_:T	V
192652	Hartel	Hartel_;S	N
192653	Härtel	Härtel_;S	N
192991	hasitel	hasitel	N	192996
192996	hasit	hasit_:T	V
194967	Hechtel	Hechtel_;S	N
195193	Heissenbüttel	Heissenbüttel_;S	N
196385	hemžitel	hemžitel	N	196389
196389	hemžit	hemžit_:T	V
197506	Hertel	Hertel_;S	N
198323	Hietel	Hietel_;S	N
199461	hlasatel	hlasatel	N	199469
199469	hlásat	hlásat_:T	V	199503
199503	hlásit	hlásit_:T	V
199892	hledatel	hledatel	N	199898
199898	hledat	hledat_:T	V
200477	hloubitel	hloubitel	N	200481
200481	hloubit	hloubit_:T	V
200925	hmatatel	hmatatel	N	200929
200929	hmatat	hmatat_:T	V
202069	hodnotitel	hodnotitel	N	202076
202076	hodnotit	hodnotit_:T	V
202629	hojitel	hojitel	N	202633
202633	hojit	hojit_:T	V
204234	honitel	honitel	N	204238
204238	honit	honit_:T	V
204936	horlitel	horlitel	N	204943
204943	horlit	horlit_:T	V
205033	Hornbostel	Hornbostel_;S	N
205400	horovatel	horovatel	N	205404
205404	horovat	horovat_:T	V
206072	hostel	hostel	N
206154	hostitel	hostitel	N	206162
206162	hostit	hostit_:T	V
206373	hotel	hotel	N
206416	hotovitel	hotovitel	N	206423
206423	hotovit	hotovit_:T	V	206441
206441	hotový	hotový	A
208577	hromaditel	hromaditel	N	208581
208581	hromadit	hromadit_:T_^(získávat_ve_větším_množství;_přech.)	V
209901	hřímatel	hřímatel	N	209905
209905	hřímat	hřímat_:T	V
210218	hubitel	hubitel	N	210225
210225	hubit	hubit_:T_^(např._hmyz)	V
211983	hustitel	hustitel	N	211987
211987	hustit	hustit_:T	V	212033
212033	hustý	hustý	A
212178	Hüttel	Hüttel_;S	N
212548	hybatel	hybatel	N	212554
212554	hýbat	hýbat_:T	V	201677
201677	hnout	hnout_:W	V
216602	chlácholitel	chlácholitel	N	216606
216606	chlácholit	chlácholit_:T	V
217566	chmelitel	chmelitel	N	217570
217570	chmelit	chmelit_:T	V
218635	chovatel	chovatel	N	218643
218643	chovat	chovat_:T	V
218762	chránitel	chránitel	N	218769
218769	chránit	chránit_:T	V
219106	Christel	Christel_;S	N
219237	chrlitel	chrlitel	N	219241
219241	chrlit	chrlit_:T	V
220616	chvalitel	chvalitel	N
221538	identifikovatel	identifikovatel	NC	221542
221542	identifikovat	identifikovat_:T_:W	VC
226202	Intel	Intel_;K	N
226518	interhotel	interhotel	NC
234057	jednatel	jednatel	N	234072
234072	jednat	jednat_:T	V
234919	jednotitel	jednotitel	N	234923
234923	jednotit	jednotit_:T	V
236524	jetel	jetel	N
236541	Jetel	Jetel_;S	N
237665	jímatel	jímatel	N	237669
237669	jímat	jímat_:T	V	238554
238554	jmout	jmout	V
238264	jistitel	jistitel	N	238268
238268	jistit	jistit_:T	V	238294
238294	jistý	jistý	A
238349	jitřitel	jitřitel	N	238353
238353	jitřit	jitřit_:T	V
238523	jmenovatel	jmenovatel	N	238530
238530	jmenovat	jmenovat_:T_:W	V
240450	Juniorhotel	Juniorhotel_;K	N
244576	Kambartel	Kambartel_;S	N
247563	karatel	karatel	N	247587
247587	kárat	kárat_:T	V
248959	kartel	kartel	N
249623	kastel	kastel_^(středověký_vícevěžový_hrad;;nástavba_na_lodi;;druh_opevnění)	N
250036	kaštel	kaštel	N
251282	kazatel	kazatel	N	251291
251291	kázat	kázat_:T	V
251397	kazitel	kazitel	N	251401
251401	kazit	kazit_:T	V
251933	Keitel	Keitel_;S	N
254836	Kittel	Kittel_;S	N
255273	klamatel	klamatel	N	255275
255275	klamat	klamat_:T	V
258885	klučitel	klučitel	N	258889
258889	klučit	klučit_:T	V
259470	kněhtlačitel	kněhtlačitel	N
259721	knihopodnikatel	knihopodnikatel	NC
259883	Knittel	Knittel_;S	N
261137	kódovatel	kódovatel	N	261141
261141	kódovat	kódovat_:T	V
264729	komolitel	komolitel	N	264733
264733	komolit	komolit_:T	V	264745
264745	komolý	komolý	A
265710	konatel	konatel	N	265720
265720	konat	konat_:T	V
265962	koncipovatel	koncipovatel	N	265966
265966	koncipovat	koncipovat_:T_:W	V
266355	konejšitel	konejšitel	N	266359
266359	konejšit	konejšit_:T	V
268942	konzumovatel	konzumovatel	N	268946
268946	konzumovat	konzumovat_:T	V
271180	korumpovatel	korumpovatel	N	271184
271184	korumpovat	korumpovat_:T_:W	V
272249	kostel	kostel	N
272976	Koštel	Koštel_;S	N
273200	kotel	kotel	N
274657	kovatel	kovatel	N	274663
274663	kovat	kovat_:T	V	274347
274347	kout	kout_:T_^(např._železo)	V
274844	kovotlačitel	kovotlačitel	N	728377
728377	tlačit	tlačit_:T	V
277042	krasosmutnitel	krasosmutnitel	N	277044
277044	krasosmutnit	krasosmutnit_:T	VC
279045	Kristel	Kristel_;Y	N
279226	kritizovatel	kritizovatel	N	279230
279230	kritizovat	kritizovat_:T	V
279455	krmitel	krmitel	N	279461
279461	krmit	krmit_:T	V
280030	kropitel	kropitel	N	280035
280035	kropit	kropit_:T	V
280147	krotitel	krotitel	N	280154
