160430	exspolumajitelčin	exspolumajitelčin_^(*3ka)	A	160431
160431	exspolumajitelka	exspolumajitelka_^(*2)	N	160432
160432	exspolumajitel	exspolumajitel	N
160841	exučitelčin	exučitelčin_^(*3ka)	A	160842
160842	exučitelka	exučitelka_^(*2)	N	160843
160843	exučitel	exučitel	N
160872	exvelitelčin	exvelitelčin_^(*3ka)	A	160873
160873	exvelitelka	exvelitelka_^(*2)	N	160874
160874	exvelitel	exvelitel	N
160907	exvyšetřovatelčin	exvyšetřovatelčin_^(*3ka)	A	160908
160908	exvyšetřovatelka	exvyšetřovatelka_^(*2)	N	160909
160909	exvyšetřovatel	exvyšetřovatel	N
160915	exzastupitelčin	exzastupitelčin_^(*3ka)	A	160916
160916	exzastupitelka	exzastupitelka_^(*2)	N	160917
160917	exzastupitel	exzastupitel	N
162316	falšovatelčin	falšovatelčin_^(*3ka)	A	162317
162317	falšovatelka	falšovatelka_^(*2)	N	162319
162319	falšovatel	falšovatel	N	162326
162326	falšovat	falšovat_:T	V
164192	fedrovatelčin	fedrovatelčin_^(*3ka)	A	164193
164193	fedrovatelka	fedrovatelka_^(*2)	N	164195
164195	fedrovatel	fedrovatel	N	164199
164199	fedrovat	fedrovat_:T	V
167339	financovatelčin	financovatelčin_^(*3ka)	A	167340
167340	financovatelka	financovatelka_^(*2)	N	167342
167342	financovatel	financovatel	N	167346
167346	financovat	financovat_:T	V
170373	fondovatelčin	fondovatelčin_^(*3ka)	A	170374
170374	fondovatelka	fondovatelka_^(*2)	N	170375
170375	fondovatel	fondovatel	N
170896	formovatelčin	formovatelčin_^(*3ka)	A	170897
170897	formovatelka	formovatelka_^(*2)	N	170899
170899	formovatel	formovatel	N	170903
170903	formovat	formovat_:T	V
170947	formulovat	formulovat_:T_:W	V
175105	funitelčin	funitelčin_^(*3ka)	A	175106
175106	funitelka	funitelka_^(*2)	N	175107
175107	funitel	funitel	N
178252	gaypřítelčin	gaypřítelčin_^(*3ka)	A	178253
178253	gaypřítelka	gaypřítelka_^(*2)	N	178254
178254	gaypřítel	gaypřítel	N
189129	hajitelčin	hajitelčin_^(*3ka)	A	189131
189130	hájitelčin	hájitelčin_^(*3ka)	A	189132
189131	hajitelka	hajitelka_^(*2)	N	189134
189132	hájitelka	hájitelka_^(*2)	N	189135
189134	hajitel	hajitel	N
189135	hájitel	hájitel	N	189140
189140	hájit	hájit_:T_^(bránit,_obhajovat)	V
189828	halit	halit_:T	V
190848	hanba	hanba	N
190868	hanbit	hanbit_:T	V	190848
191245	hanitelčin	hanitelčin_^(*3ka)	A	191246
191246	hanitelka	hanitelka_^(*2)	N	191248
191248	hanitel	hanitel	N	191252
191252	hanit	hanit_:T_^(vyjadřovat_se_záporně)	V
191378	hanobitelčin	hanobitelčin_^(*3ka)	A	191379
191379	hanobitelka	hanobitelka_^(*2)	N	191381
191381	hanobitel	hanobitel	N	191388
191388	hanobit	hanobit_:T	V
191968	harašitelčin	harašitelčin_^(*3ka)	A	191969
191969	harašitelka	harašitelka_^(*2)	N	191971
191971	harašitel	harašitel	N	191975
191975	harašit	harašit_:T	V
192988	hasitelčin	hasitelčin_^(*3ka)	A	192989
192989	hasitelka	hasitelka_^(*2)	N	192991
192991	hasitel	hasitel	N	192996
192996	hasit	hasit_:T	V
193050	hasnout	hasnout_:T	V	192996
196382	hemžitelčin	hemžitelčin_^(*3ka)	A	196383
196383	hemžitelka	hemžitelka_^(*2)	N	196385
196385	hemžitel	hemžitel	N	196389
196389	hemžit	hemžit_:T	V
199320	hladit	hladit_:T	V
199457	hlasatelčin	hlasatelčin_^(*3ka)	A	199458
199458	hlasatelka	hlasatelka_^(*2)	N	199461
199461	hlasatel	hlasatel	N	199469
199469	hlásat	hlásat_:T	V	199503
199503	hlásit	hlásit_:T	V
199888	hledatelčin	hledatelčin_^(*3ka)	A	199889
199889	hledatelka	hledatelka_^(*2)	N	199892
199892	hledatel	hledatel	N	199898
199898	hledat	hledat_:T	V
200474	hloubitelčin	hloubitelčin_^(*3ka)	A	200475
200475	hloubitelka	hloubitelka_^(*2)	N	200477
200477	hloubitel	hloubitel	N	200481
200481	hloubit	hloubit_:T	V
200922	hmatatelčin	hmatatelčin_^(*3ka)	A	200923
200923	hmatatelka	hmatatelka_^(*2)	N	200925
200925	hmatatel	hmatatel	N	200929
200929	hmatat	hmatat_:T	V
201677	hnout	hnout_:W	V
202066	hodnotitelčin	hodnotitelčin_^(*3ka)	A	202067
202067	hodnotitelka	hodnotitelka_^(*2)	N	202069
202069	hodnotitel	hodnotitel	N	202076
202076	hodnotit	hodnotit_:T	V
202626	hojitelčin	hojitelčin_^(*3ka)	A	202627
202627	hojitelka	hojitelka_^(*2)	N	202629
202629	hojitel	hojitel	N	202633
202633	hojit	hojit_:T	V
204231	honitelčin	honitelčin_^(*3ka)	A	204232
204232	honitelka	honitelka_^(*2)	N	204234
204234	honitel	honitel	N	204238
204238	honit	honit_:T	V
204933	horlitelčin	horlitelčin_^(*3ka)	A	204934
204934	horlitelka	horlitelka_^(*2)	N	204936
204936	horlitel	horlitel	N	204943
204943	horlit	horlit_:T	V
205397	horovatelčin	horovatelčin_^(*3ka)	A	205398
205398	horovatelka	horovatelka_^(*2)	N	205400
205400	horovatel	horovatel	N	205404
205404	horovat	horovat_:T	V
205487	horšit	horšit_:T	V
205965	hospodařit	hospodařit_:T	V	205977
205977	hospodář	hospodář	N
206151	hostitelčin	hostitelčin_^(*3ka)	A	206152
206152	hostitelka	hostitelka_^(*2)	N	206154
206154	hostitel	hostitel	N	206162
206162	hostit	hostit_:T	V
206413	hotovitelčin	hotovitelčin_^(*3ka)	A	206414
206414	hotovitelka	hotovitelka_^(*2)	N	206416
206416	hotovitel	hotovitel	N	206423
206423	hotovit	hotovit_:T	V	206441
206441	hotový	hotový	A
206884	hovět	hovět_:T	V
207134	hrabat	hrabat_:T	V
208574	hromaditelčin	hromaditelčin_^(*3ka)	A	208575
208575	hromaditelka	hromaditelka_^(*2)	N	208577
208577	hromaditel	hromaditel	N	208581
208581	hromadit	hromadit_:T_^(získávat_ve_větším_množství;_přech.)	V
208800	hrotit	hrotit_:T	V
208968	hrozit	hrozit_:T	V
209797	hřešit	hřešit_:T	V
209898	hřímatelčin	hřímatelčin_^(*3ka)	A	209899
209899	hřímatelka	hřímatelka_^(*2)	N	209901
209901	hřímatel	hřímatel	N	209905
209905	hřímat	hřímat_:T	V
210215	hubitelčin	hubitelčin_^(*3ka)	A	210216
210216	hubitelka	hubitelka_^(*2)	N	210218
210218	hubitel	hubitel	N	210225
210225	hubit	hubit_:T_^(např._hmyz)	V
211980	hustitelčin	hustitelčin_^(*3ka)	A	211981
211981	hustitelka	hustitelka_^(*2)	N	211983
211983	hustitel	hustitel	N	211987
